Food Secure,Age,Sex,Household Size,18&below,60&above,Annual Income,Garden,Garden Size,No. of Crops,Top 3 Crops,Garden Annual Income
0,33,0,5,2,0,182500,1,4,5,"Alugbati, Luya, Sibuyas",0
0,38,0,6,4,0,60000,1,6,3,"Sibuyas, Alugbati, Luya",0
1,33,0,4,2,0,1825000,0,n/a,n/a,n/a,n/a
1,49,0,6,2,0,1440000,0,n/a,n/a,n/a,n/a
0,29,0,4,2,0,127750,1,1,1,Alugbati,0
0,30,0,3,1,0,365000,1,6,5,"Sibuyas, Alugbati, Talong",0
0,40,0,4,0,0,365000,1,5,2,"Sibuyas, Sili",0
1,44,0,4,2,0,720000,1,1000,4,"Sili, Sibuyas, Talong",0
0,48,0,5,2,0,109500,1,25,1,Kamunggay,0
0,23,0,3,1,0,127750,1,4,2,"Alugbati, Talong",0
1,24,0,3,1,0,1440000,0,n/a,n/a,n/a,n/a
1,54,0,1,0,0,240000,0,n/a,n/a,n/a,n/a
1,51,0,5,1,0,240000,0,n/a,n/a,n/a,n/a
0,64,1,5,1,2,182500,1,6,5,"Talong, Okra, Sibuyas ",0
0,24,0,8,3,1,345600,1,1,2,"Talong, Kamunggay",0
1,33,0,4,2,0,480000,1,4,3,"Sibuyas, Sili, Okra",0
0,53,0,3,1,0,300000,0,n/a,n/a,n/a,n/a
0,60,1,5,1,2,240000,1,50,1,Sayote,0
0,23,1,3,1,0,127750,0,n/a,n/a,n/a,n/a
1,29,0,3,1,0,1825000,0,n/a,n/a,n/a,n/a
1,25,0,3,1,0,150000,0,n/a,n/a,n/a,n/a
1,21,0,3,1,0,365000,1,1,2,"Alugbati, Saluyot",0
1,40,0,6,3,0,255500,1,49,1,Sayote,0
1,33,0,3,1,0,182500,0,n/a,n/a,n/a,n/a
1,41,0,5,0,0,600000,1,25,6,"Okra, Alugbati, Patola",0
0,36,0,4,2,0,127750,1,4,3,"Alugbati, Sibuyas, Talong",0
1,51,0,7,2,0,360000,0,n/a,n/a,n/a,n/a
0,31,0,6,3,0,219000,1,1,2,"Alugbati, Luya",0
0,60,1,3,0,1,120000,1,9,3,"Sayote, Alugbati, Sibuyas",0
1,40,0,7,3,2,1440000,0,n/a,n/a,n/a,n/a
1,62,0,5,0,2,300000,0,n/a,n/a,n/a,n/a
0,29,0,3,1,0,219000,1,2,2,"Luya, Talong",0
1,28,0,3,1,0,182500,0,n/a,n/a,n/a,n/a
1,33,0,5,0,0,720000,0,n/a,n/a,n/a,n/a
1,51,0,3,1,0,300000,0,n/a,n/a,n/a,n/a
0,23,1,3,1,0,127750,1,25,1,Sibuyas,0
1,37,1,3,1,0,219000,1,5,1,Sibuyas,0
1,24,0,4,1,0,2400000,0,n/a,n/a,n/a,n/a
0,55,1,3,0,0,150000,0,n/a,n/a,n/a,n/a
1,35,1,3,1,0,360000,0,n/a,n/a,n/a,n/a
0,25,1,5,3,0,255500,0,n/a,n/a,n/a,n/a
0,29,0,4,2,0,120000,0,n/a,n/a,n/a,n/a
0,44,0,4,2,0,109500,1,25,5,"Patola, Alugbati, Sayote",12000
0,30,0,6,4,0,91250,1,4,4,"Alugbati, Okra, Talong",0
